model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M4_block_alpha_full_response,23,13544904,0.0020937884410667986,0.02281480890252175,2.49223421919635,12.0478423014,0.55506087897871,-0.2329939138787975,NA,4.125,2.777777778,3.411764706,1.666666667,5.75,25,22,15,17
M4_block_alpha_full_response,24,13545757,0.4079189218825,0.8183614238975,1.02360462372005,2.895567426225,0.002289783017449825,0.0834495904285525,NA,4.125,2.777777778,3.411764706,5.333333333,2,32,0,32,0
M4_block_alpha_full_response,25,13546009,0.574146599378163,0.5058152608773807,-0.23583091407666254,1.0044761469673,0.4399238839044475,0.0431119215505635,NA,3.625,2.777777778,3.176470588,5,2.75,10,8,0,0
M4_block_alpha_full_response,26,13547563,0.0048494386193294,0.01739410774241075,1.1978529753723575,16.744884960475,0.469274067338929,0.166146827162822,NA,3.625,2.777777778,3.176470588,5.166666667,2.75,22,7,11,13
M4_block_alpha_full_response,27,13548221,0.00679913791427785,0.0382119869097628,2.26985083745795,5.448875989975,-0.17031994701844624,-0.907818233288195,NA,3.125,4.111111111,3.647058824,4.5,5.25,19,20,14,19
M4_block_alpha_full_response,28,13548840,0.3968516549169305,0.335710667182062,-0.18952547455116725,0.502534654572625,0.112341528444511,0.7243319473425,NA,3.5,4.111111111,3.823529412,6,3,2,7,35,2
M4_block_alpha_full_response,29,13549051,0.41147911080693256,0.4345275059852294,-0.309760086655255,1.59947981141605,1.983873749925,-0.10415150288844065,NA,5.5,4.666666667,5.058823529,5,6,23,14,23,9
M4_block_alpha_full_response,30,13549479,0.6861649451221548,0.7602603819073225,0.222359056065895,1.5133217969345,0.9569541267075,0.12750445356562318,NA,3.625,5.222222222,4.470588235,6.833333333,5,15,14,6,14
M4_block_alpha_full_response,31,13549649,0.551242206281135,0.60664152787138,0.2263114691664475,1.4017850656715,0.62898892656755,0.084218797947822,NA,2.25,3.111111111,2.705882353,4.833333333,2.25,24,21,12,26
M4_block_alpha_full_response,32,13551194,0.3596404138420555,0.83980566974295,1.102496255631865,1.737166005348275,0.447546674002725,-0.250216150311625,NA,3.75,3.222222222,3.470588235,6.833333333,6.25,14,6,28,3
M4_block_alpha_full_response,33,13551454,0.4861881409562662,0.16685408709103175,-2.24668581897515,0.6248356432170997,1.1745074550925,-0.47760122216192474,NA,4,3.111111111,3.529411765,5.166666667,5.25,26,13,30,9
M4_block_alpha_full_response,34,13552853,0.2099261566136233,0.6445787108579325,3.6285251461945975,2.20254983732225,0.6596310284637075,0.1810648753493275,NA,4,2.888888889,3.411764706,5,4.25,25,29,17,30
M4_block_alpha_full_response,35,13555618,0.0010753130347951575,0.003170063868694825,1.07499300261762,175.9938616595,0.8762401328029275,-0.0633750425435425,NA,5.25,3.777777778,4.470588235,4.833333333,4.5,27,17,17,16
M4_block_alpha_full_response,36,13557505,0.430852839365578,0.552703191652876,0.3994475401878275,0.611841287268585,1.2124943716525,-1.1703865199575,NA,3.125,6.555555556,4.941176471,3.666666667,1.75,18,31,20,17
M4_block_alpha_full_response,37,13561397,0.2240725694672926,0.322461449375498,0.8568924368824823,0.2544551592613125,0.00327861637653125,-1.1148093757475,NA,2.125,3.333333333,2.764705882,4.5,3,19,13,21,7
